trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
308,False,"{'a': 0.5, 'e': 0.9980810948185003}",20,0,-23.49851227396406,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
309,False,"{'a': 0.5, 'e': 0.8462123731256282}",20,0,-95.17062668053605,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
310,False,"{'a': 0.5, 'e': 0.48716134980334147}",25,0,-34.030055138245025,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
311,False,"{'a': 0.5, 'e': 0.008836237703148543}",20,15,9.587111523645245,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.47165229356133864}",25,9,-54.98335717396483,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
313,False,"{'a': 0.5, 'e': 0.836663893913208}",20,0,-77.77537016947657,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
314,False,"{'a': 0.5, 'e': 0.9968309933617175}",25,0,-24.460966341428794,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
315,False,"{'a': 0.5, 'e': 0.9129390999389944}",20,0,-56.727171917030866,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
316,False,"{'a': 0.5, 'e': 0.6055278749869898}",25,0,-57.240767724302096,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
317,False,"{'a': 0.5, 'e': 0.1498623077152374}",25,0,-10.267796010253607,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
318,False,"{'a': 0.5, 'e': 0.34249477911590703}",25,0,-9.110548071719249,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
319,False,"{'a': 0.5, 'e': 0.7509971990964674}",20,0,-92.82219503064617,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
320,False,"{'a': 0.5, 'e': 0.9756293127952373}",25,0,-131.63733272295744,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
321,False,"{'a': 0.5, 'e': 0.9613933444599089}",20,0,-55.817846935421755,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
322,False,"{'a': 0.5, 'e': 0.7117747556357236}",20,7,-67.2179885703075,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
323,False,"{'a': 0.5, 'e': 0.2878888826194756}",25,8,-25.92680834605477,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
324,False,"{'a': 0.5, 'e': 0.2064822293378111}",20,6,-27.721626401060128,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
325,False,"{'a': 0.5, 'e': 0.6502992902336991}",30,2,-69.70796004136432,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 1}",1
326,False,"{'a': 0.5, 'e': 0.9349004048997503}",20,0,-117.02359452071606,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
327,False,"{'a': 0.5, 'e': 0.9906052946548402}",20,0,-110.89261947481278,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
328,False,"{'a': 0.5, 'e': 0.803775459710974}",25,0,-87.54858659773387,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
329,False,"{'a': 0.5, 'e': 0.4201533595806971}",20,10,9.397177386873405,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.06633693633562374}",20,0,-7.3780940703986975,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
331,False,"{'a': 0.5, 'e': 0.5365856366554476}",30,9,-55.33027370310029,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
332,False,"{'a': 0.5, 'e': 0.875459459043705}",25,0,-102.09797225330672,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
333,False,"{'a': 0.5, 'e': 0.9999902731420214}",25,0,-117.65535729205976,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
334,False,"{'a': 0.5, 'e': 0.8796885924951523}",30,0,-85.83713456976815,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
335,False,"{'a': 0.5, 'e': 0.5440084641932424}",35,2,-86.24826816466275,"{0: 25, 1: 2, 2: 3, 3: 2, 4: 1}",1
336,False,"{'a': 0.5, 'e': 0.07513609089835323}",25,16,17.040756783305923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
